date,areaType,areaCode,areaName,cumCasesByPublishDateRate
"2020-07-17",region,E12000006,East of England,
"2020-07-16",region,E12000006,East of England,
"2020-07-15",region,E12000006,East of England,
"2020-07-14",region,E12000006,East of England,
"2020-07-13",region,E12000006,East of England,
"2020-07-12",region,E12000006,East of England,
"2020-07-11",region,E12000006,East of England,
"2020-07-10",region,E12000006,East of England,
"2020-07-09",region,E12000006,East of England,
"2020-07-08",region,E12000006,East of England,
"2020-07-07",region,E12000006,East of England,
"2020-07-06",region,E12000006,East of England,
"2020-07-05",region,E12000006,East of England,
"2020-07-04",region,E12000006,East of England,
"2020-07-03",region,E12000006,East of England,
"2020-07-02",region,E12000006,East of England,
"2020-07-01",region,E12000006,East of England,
"2020-06-30",region,E12000006,East of England,
"2020-06-29",region,E12000006,East of England,
"2020-06-28",region,E12000006,East of England,
"2020-06-27",region,E12000006,East of England,
"2020-06-26",region,E12000006,East of England,
"2020-06-25",region,E12000006,East of England,
"2020-06-24",region,E12000006,East of England,
"2020-06-23",region,E12000006,East of England,
"2020-06-22",region,E12000006,East of England,
"2020-06-21",region,E12000006,East of England,
"2020-06-20",region,E12000006,East of England,
"2020-06-19",region,E12000006,East of England,
"2020-06-18",region,E12000006,East of England,
"2020-06-17",region,E12000006,East of England,
"2020-06-16",region,E12000006,East of England,
"2020-06-15",region,E12000006,East of England,
"2020-06-14",region,E12000006,East of England,
"2020-06-13",region,E12000006,East of England,
"2020-06-12",region,E12000006,East of England,
"2020-06-11",region,E12000006,East of England,
"2020-06-10",region,E12000006,East of England,
"2020-06-09",region,E12000006,East of England,
"2020-06-08",region,E12000006,East of England,
"2020-06-07",region,E12000006,East of England,
"2020-06-06",region,E12000006,East of England,
"2020-06-05",region,E12000006,East of England,
"2020-06-04",region,E12000006,East of England,
"2020-06-03",region,E12000006,East of England,
"2020-06-02",region,E12000006,East of England,
"2020-06-01",region,E12000006,East of England,
"2020-05-31",region,E12000006,East of England,
"2020-05-30",region,E12000006,East of England,
"2020-05-29",region,E12000006,East of England,
"2020-05-28",region,E12000006,East of England,
"2020-05-27",region,E12000006,East of England,
"2020-05-26",region,E12000006,East of England,
"2020-05-25",region,E12000006,East of England,
"2020-05-24",region,E12000006,East of England,
"2020-05-23",region,E12000006,East of England,
"2020-05-22",region,E12000006,East of England,
"2020-05-21",region,E12000006,East of England,
"2020-05-20",region,E12000006,East of England,
"2020-05-19",region,E12000006,East of England,
"2020-05-18",region,E12000006,East of England,
"2020-05-17",region,E12000006,East of England,
"2020-05-16",region,E12000006,East of England,
"2020-05-15",region,E12000006,East of England,
"2020-05-14",region,E12000006,East of England,
"2020-05-13",region,E12000006,East of England,
"2020-05-12",region,E12000006,East of England,
"2020-05-11",region,E12000006,East of England,
"2020-05-10",region,E12000006,East of England,
"2020-05-09",region,E12000006,East of England,
"2020-05-08",region,E12000006,East of England,
"2020-05-07",region,E12000006,East of England,
"2020-05-06",region,E12000006,East of England,
"2020-05-05",region,E12000006,East of England,
"2020-05-04",region,E12000006,East of England,
"2020-05-03",region,E12000006,East of England,
"2020-05-02",region,E12000006,East of England,
"2020-05-01",region,E12000006,East of England,
"2020-04-30",region,E12000006,East of England,
"2020-04-29",region,E12000006,East of England,
"2020-04-28",region,E12000006,East of England,
"2020-04-27",region,E12000006,East of England,
"2020-04-26",region,E12000006,East of England,
"2020-04-25",region,E12000006,East of England,
"2020-04-24",region,E12000006,East of England,
"2020-04-23",region,E12000006,East of England,
"2020-04-22",region,E12000006,East of England,
"2020-04-21",region,E12000006,East of England,
"2020-04-20",region,E12000006,East of England,
"2020-04-19",region,E12000006,East of England,
"2020-04-18",region,E12000006,East of England,
"2020-04-17",region,E12000006,East of England,
"2020-04-16",region,E12000006,East of England,
"2020-04-15",region,E12000006,East of England,
"2020-04-14",region,E12000006,East of England,
"2020-04-13",region,E12000006,East of England,
"2020-04-12",region,E12000006,East of England,
"2020-04-11",region,E12000006,East of England,
"2020-04-10",region,E12000006,East of England,
"2020-04-09",region,E12000006,East of England,
"2020-04-08",region,E12000006,East of England,
"2020-04-07",region,E12000006,East of England,
"2020-04-06",region,E12000006,East of England,
"2020-04-05",region,E12000006,East of England,
"2020-04-04",region,E12000006,East of England,
"2020-04-03",region,E12000006,East of England,
"2020-04-02",region,E12000006,East of England,
"2020-04-01",region,E12000006,East of England,
"2020-03-31",region,E12000006,East of England,
"2020-03-30",region,E12000006,East of England,
"2020-03-29",region,E12000006,East of England,
"2020-03-28",region,E12000006,East of England,
"2020-03-27",region,E12000006,East of England,
"2020-03-26",region,E12000006,East of England,
"2020-03-25",region,E12000006,East of England,
"2020-03-24",region,E12000006,East of England,
"2020-03-23",region,E12000006,East of England,
"2020-03-22",region,E12000006,East of England,
"2020-03-21",region,E12000006,East of England,
"2020-03-20",region,E12000006,East of England,
"2020-03-19",region,E12000006,East of England,
"2020-03-18",region,E12000006,East of England,
"2020-03-17",region,E12000006,East of England,
"2020-03-16",region,E12000006,East of England,
"2020-03-15",region,E12000006,East of England,
"2020-03-14",region,E12000006,East of England,
"2020-03-13",region,E12000006,East of England,
"2020-03-12",region,E12000006,East of England,
"2020-03-11",region,E12000006,East of England,
"2020-03-10",region,E12000006,East of England,
"2020-03-09",region,E12000006,East of England,
"2020-03-08",region,E12000006,East of England,
"2020-03-07",region,E12000006,East of England,
"2020-03-06",region,E12000006,East of England,
"2020-03-05",region,E12000006,East of England,
"2020-03-04",region,E12000006,East of England,
"2020-03-03",region,E12000006,East of England,
"2020-03-02",region,E12000006,East of England,
"2020-03-01",region,E12000006,East of England,
"2020-02-29",region,E12000006,East of England,
"2020-02-28",region,E12000006,East of England,
"2020-02-27",region,E12000006,East of England,
"2020-02-26",region,E12000006,East of England,
"2020-02-25",region,E12000006,East of England,
"2020-02-24",region,E12000006,East of England,
"2020-02-23",region,E12000006,East of England,
"2020-02-22",region,E12000006,East of England,
"2020-02-21",region,E12000006,East of England,
"2020-02-20",region,E12000006,East of England,
"2020-02-19",region,E12000006,East of England,
"2020-02-18",region,E12000006,East of England,
"2020-02-17",region,E12000006,East of England,
"2020-02-16",region,E12000006,East of England,
"2020-02-15",region,E12000006,East of England,
"2020-02-14",region,E12000006,East of England,
"2020-02-13",region,E12000006,East of England,
"2020-02-12",region,E12000006,East of England,
"2020-02-11",region,E12000006,East of England,
"2020-02-10",region,E12000006,East of England,
"2020-02-09",region,E12000006,East of England,
"2020-02-08",region,E12000006,East of England,
"2020-02-07",region,E12000006,East of England,
"2020-02-06",region,E12000006,East of England,
"2020-02-05",region,E12000006,East of England,
"2020-02-04",region,E12000006,East of England,
"2020-02-03",region,E12000006,East of England,
"2020-02-02",region,E12000006,East of England,
"2020-02-01",region,E12000006,East of England,
"2020-01-31",region,E12000006,East of England,
"2020-01-30",region,E12000006,East of England,
"2020-01-29",region,E12000006,East of England,
"2020-01-28",region,E12000006,East of England,
"2020-01-27",region,E12000006,East of England,
"2020-01-26",region,E12000006,East of England,
"2020-01-25",region,E12000006,East of England,
"2020-01-24",region,E12000006,East of England,
"2020-01-23",region,E12000006,East of England,
"2020-01-22",region,E12000006,East of England,
"2020-01-21",region,E12000006,East of England,
"2020-01-20",region,E12000006,East of England,
"2020-01-19",region,E12000006,East of England,
"2020-01-18",region,E12000006,East of England,
"2020-01-17",region,E12000006,East of England,
"2020-01-16",region,E12000006,East of England,
"2020-01-15",region,E12000006,East of England,
"2020-01-14",region,E12000006,East of England,
"2020-01-13",region,E12000006,East of England,
"2020-01-12",region,E12000006,East of England,
"2020-01-11",region,E12000006,East of England,
"2020-01-10",region,E12000006,East of England,
"2020-01-09",region,E12000006,East of England,
"2020-01-08",region,E12000006,East of England,
"2020-01-07",region,E12000006,East of England,
"2020-01-06",region,E12000006,East of England,
"2020-01-05",region,E12000006,East of England,
"2020-01-04",region,E12000006,East of England,
"2020-01-03",region,E12000006,East of England,
"2020-12-19",region,E12000007,London,2651.8
"2020-12-18",region,E12000007,London,
"2020-12-17",region,E12000007,London,
"2020-12-16",region,E12000007,London,
"2020-12-15",region,E12000007,London,
"2020-12-14",region,E12000007,London,
"2020-12-13",region,E12000007,London,
"2020-12-12",region,E12000007,London,
"2020-12-11",region,E12000007,London,
"2020-12-10",region,E12000007,London,
"2020-12-09",region,E12000007,London,
"2020-12-08",region,E12000007,London,
"2020-12-07",region,E12000007,London,
"2020-12-06",region,E12000007,London,
"2020-12-05",region,E12000007,London,
"2020-12-04",region,E12000007,London,
"2020-12-03",region,E12000007,London,
"2020-12-02",region,E12000007,London,
"2020-12-01",region,E12000007,London,
"2020-11-30",region,E12000007,London,
"2020-11-29",region,E12000007,London,
"2020-11-28",region,E12000007,London,
"2020-11-27",region,E12000007,London,
"2020-11-26",region,E12000007,London,
"2020-11-25",region,E12000007,London,
"2020-11-24",region,E12000007,London,
"2020-11-23",region,E12000007,London,
"2020-11-22",region,E12000007,London,
"2020-11-21",region,E12000007,London,
"2020-11-20",region,E12000007,London,
"2020-11-19",region,E12000007,London,
"2020-11-18",region,E12000007,London,
"2020-11-17",region,E12000007,London,
"2020-11-16",region,E12000007,London,
"2020-11-15",region,E12000007,London,
"2020-11-14",region,E12000007,London,
"2020-11-13",region,E12000007,London,
"2020-11-12",region,E12000007,London,
"2020-11-11",region,E12000007,London,
"2020-11-10",region,E12000007,London,
"2020-11-09",region,E12000007,London,
"2020-11-08",region,E12000007,London,
"2020-11-07",region,E12000007,London,
"2020-11-06",region,E12000007,London,
"2020-11-05",region,E12000007,London,
"2020-11-04",region,E12000007,London,
"2020-11-03",region,E12000007,London,
"2020-11-02",region,E12000007,London,
"2020-11-01",region,E12000007,London,
"2020-10-31",region,E12000007,London,
"2020-10-30",region,E12000007,London,
"2020-10-29",region,E12000007,London,
"2020-10-28",region,E12000007,London,
"2020-10-27",region,E12000007,London,
"2020-10-26",region,E12000007,London,
"2020-10-25",region,E12000007,London,
"2020-10-24",region,E12000007,London,
"2020-10-23",region,E12000007,London,
"2020-10-22",region,E12000007,London,
"2020-10-21",region,E12000007,London,
"2020-10-20",region,E12000007,London,
"2020-10-19",region,E12000007,London,
"2020-10-18",region,E12000007,London,
"2020-10-17",region,E12000007,London,
"2020-10-16",region,E12000007,London,
"2020-10-15",region,E12000007,London,
"2020-10-14",region,E12000007,London,
"2020-10-13",region,E12000007,London,
"2020-10-12",region,E12000007,London,
"2020-10-11",region,E12000007,London,
"2020-10-10",region,E12000007,London,
"2020-10-09",region,E12000007,London,
"2020-10-08",region,E12000007,London,
"2020-10-07",region,E12000007,London,
"2020-10-06",region,E12000007,London,
"2020-10-05",region,E12000007,London,
"2020-10-04",region,E12000007,London,
"2020-10-03",region,E12000007,London,
"2020-10-02",region,E12000007,London,
"2020-10-01",region,E12000007,London,
"2020-09-30",region,E12000007,London,
"2020-09-29",region,E12000007,London,
"2020-09-28",region,E12000007,London,
"2020-09-27",region,E12000007,London,
"2020-09-26",region,E12000007,London,
"2020-09-25",region,E12000007,London,
"2020-09-24",region,E12000007,London,
"2020-09-23",region,E12000007,London,
"2020-09-22",region,E12000007,London,
"2020-09-21",region,E12000007,London,
"2020-09-20",region,E12000007,London,
"2020-09-19",region,E12000007,London,
"2020-09-18",region,E12000007,London,
"2020-09-17",region,E12000007,London,
"2020-09-16",region,E12000007,London,
"2020-09-15",region,E12000007,London,
"2020-09-14",region,E12000007,London,
"2020-09-13",region,E12000007,London,
"2020-09-12",region,E12000007,London,
"2020-09-11",region,E12000007,London,
"2020-09-10",region,E12000007,London,
"2020-09-09",region,E12000007,London,
"2020-09-08",region,E12000007,London,
"2020-09-07",region,E12000007,London,
"2020-09-06",region,E12000007,London,
"2020-09-05",region,E12000007,London,
"2020-09-04",region,E12000007,London,
"2020-09-03",region,E12000007,London,
"2020-09-02",region,E12000007,London,
"2020-09-01",region,E12000007,London,
"2020-08-31",region,E12000007,London,
"2020-08-30",region,E12000007,London,
"2020-08-29",region,E12000007,London,
"2020-08-28",region,E12000007,London,
"2020-08-27",region,E12000007,London,
"2020-08-26",region,E12000007,London,
"2020-08-25",region,E12000007,London,
"2020-08-24",region,E12000007,London,
"2020-08-23",region,E12000007,London,
"2020-08-22",region,E12000007,London,
"2020-08-21",region,E12000007,London,
"2020-08-20",region,E12000007,London,
"2020-08-19",region,E12000007,London,
"2020-08-18",region,E12000007,London,
"2020-08-17",region,E12000007,London,
"2020-08-16",region,E12000007,London,
"2020-08-15",region,E12000007,London,
"2020-08-14",region,E12000007,London,
"2020-08-13",region,E12000007,London,
"2020-08-12",region,E12000007,London,
"2020-08-11",region,E12000007,London,
"2020-08-10",region,E12000007,London,
"2020-08-09",region,E12000007,London,
"2020-08-08",region,E12000007,London,
"2020-08-07",region,E12000007,London,
"2020-08-06",region,E12000007,London,
"2020-08-05",region,E12000007,London,
"2020-08-04",region,E12000007,London,
"2020-08-03",region,E12000007,London,
"2020-08-02",region,E12000007,London,
"2020-08-01",region,E12000007,London,
"2020-07-31",region,E12000007,London,
"2020-07-30",region,E12000007,London,
"2020-07-29",region,E12000007,London,
"2020-07-28",region,E12000007,London,
"2020-07-27",region,E12000007,London,
"2020-07-26",region,E12000007,London,
"2020-07-25",region,E12000007,London,
"2020-07-24",region,E12000007,London,
"2020-07-23",region,E12000007,London,
"2020-07-22",region,E12000007,London,
"2020-07-21",region,E12000007,London,
"2020-07-20",region,E12000007,London,
"2020-07-19",region,E12000007,London,
"2020-07-18",region,E12000007,London,
"2020-07-17",region,E12000007,London,
"2020-07-16",region,E12000007,London,
"2020-07-15",region,E12000007,London,
"2020-07-14",region,E12000007,London,
"2020-07-13",region,E12000007,London,
"2020-07-12",region,E12000007,London,
"2020-07-11",region,E12000007,London,
"2020-07-10",region,E12000007,London,
"2020-07-09",region,E12000007,London,
"2020-07-08",region,E12000007,London,
"2020-07-07",region,E12000007,London,
"2020-07-06",region,E12000007,London,
"2020-07-05",region,E12000007,London,
"2020-07-04",region,E12000007,London,
"2020-07-03",region,E12000007,London,
"2020-07-02",region,E12000007,London,
"2020-07-01",region,E12000007,London,
"2020-06-30",region,E12000007,London,
"2020-06-29",region,E12000007,London,
"2020-06-28",region,E12000007,London,
"2020-06-27",region,E12000007,London,
"2020-06-26",region,E12000007,London,
"2020-06-25",region,E12000007,London,
"2020-06-24",region,E12000007,London,
"2020-06-23",region,E12000007,London,
"2020-06-22",region,E12000007,London,
"2020-06-21",region,E12000007,London,
"2020-06-20",region,E12000007,London,
"2020-06-19",region,E12000007,London,
"2020-06-18",region,E12000007,London,
"2020-06-17",region,E12000007,London,
"2020-06-16",region,E12000007,London,
"2020-06-15",region,E12000007,London,
"2020-06-14",region,E12000007,London,
"2020-06-13",region,E12000007,London,
"2020-06-12",region,E12000007,London,
"2020-06-11",region,E12000007,London,
"2020-06-10",region,E12000007,London,
"2020-06-09",region,E12000007,London,
"2020-06-08",region,E12000007,London,
"2020-06-07",region,E12000007,London,
"2020-06-06",region,E12000007,London,
"2020-06-05",region,E12000007,London,
"2020-06-04",region,E12000007,London,
"2020-06-03",region,E12000007,London,
"2020-06-02",region,E12000007,London,
"2020-06-01",region,E12000007,London,
"2020-05-31",region,E12000007,London,
"2020-05-30",region,E12000007,London,
"2020-05-29",region,E12000007,London,
"2020-05-28",region,E12000007,London,
"2020-05-27",region,E12000007,London,
"2020-05-26",region,E12000007,London,
"2020-05-25",region,E12000007,London,
"2020-05-24",region,E12000007,London,
"2020-05-23",region,E12000007,London,
"2020-05-22",region,E12000007,London,
"2020-05-21",region,E12000007,London,
"2020-05-20",region,E12000007,London,
"2020-05-19",region,E12000007,London,
"2020-05-18",region,E12000007,London,
"2020-05-17",region,E12000007,London,
"2020-05-16",region,E12000007,London,
"2020-05-15",region,E12000007,London,
"2020-05-14",region,E12000007,London,
"2020-05-13",region,E12000007,London,
"2020-05-12",region,E12000007,London,
"2020-05-11",region,E12000007,London,
"2020-05-10",region,E12000007,London,
"2020-05-09",region,E12000007,London,
"2020-05-08",region,E12000007,London,
"2020-05-07",region,E12000007,London,
"2020-05-06",region,E12000007,London,
"2020-05-05",region,E12000007,London,
"2020-05-04",region,E12000007,London,
"2020-05-03",region,E12000007,London,
"2020-05-02",region,E12000007,London,
"2020-05-01",region,E12000007,London,
"2020-04-30",region,E12000007,London,
"2020-04-29",region,E12000007,London,
"2020-04-28",region,E12000007,London,
"2020-04-27",region,E12000007,London,
"2020-04-26",region,E12000007,London,
"2020-04-25",region,E12000007,London,
"2020-04-24",region,E12000007,London,
"2020-04-23",region,E12000007,London,
"2020-04-22",region,E12000007,London,
"2020-04-21",region,E12000007,London,
"2020-04-20",region,E12000007,London,
"2020-04-19",region,E12000007,London,
"2020-04-18",region,E12000007,London,
"2020-04-17",region,E12000007,London,
"2020-04-16",region,E12000007,London,
"2020-04-15",region,E12000007,London,
"2020-04-14",region,E12000007,London,
"2020-04-13",region,E12000007,London,
"2020-04-12",region,E12000007,London,
"2020-04-11",region,E12000007,London,
"2020-04-10",region,E12000007,London,
"2020-04-09",region,E12000007,London,
"2020-04-08",region,E12000007,London,
"2020-04-07",region,E12000007,London,
"2020-04-06",region,E12000007,London,
"2020-04-05",region,E12000007,London,
"2020-04-04",region,E12000007,London,
"2020-04-03",region,E12000007,London,
"2020-04-02",region,E12000007,London,
"2020-04-01",region,E12000007,London,
"2020-03-31",region,E12000007,London,
"2020-03-30",region,E12000007,London,
"2020-03-29",region,E12000007,London,
"2020-03-28",region,E12000007,London,
"2020-03-27",region,E12000007,London,
"2020-03-26",region,E12000007,London,
"2020-03-25",region,E12000007,London,
"2020-03-24",region,E12000007,London,
"2020-03-23",region,E12000007,London,
"2020-03-22",region,E12000007,London,
"2020-03-21",region,E12000007,London,
"2020-03-20",region,E12000007,London,
"2020-03-19",region,E12000007,London,
"2020-03-18",region,E12000007,London,
"2020-03-17",region,E12000007,London,
"2020-03-16",region,E12000007,London,
"2020-03-15",region,E12000007,London,
"2020-03-14",region,E12000007,London,
"2020-03-13",region,E12000007,London,
"2020-03-12",region,E12000007,London,
"2020-03-11",region,E12000007,London,
"2020-03-10",region,E12000007,London,
"2020-03-09",region,E12000007,London,
"2020-03-08",region,E12000007,London,
"2020-03-07",region,E12000007,London,
"2020-03-06",region,E12000007,London,
"2020-03-05",region,E12000007,London,
"2020-03-04",region,E12000007,London,
"2020-03-03",region,E12000007,London,
"2020-03-02",region,E12000007,London,
"2020-03-01",region,E12000007,London,
"2020-02-29",region,E12000007,London,
"2020-02-28",region,E12000007,London,
"2020-02-27",region,E12000007,London,
"2020-02-26",region,E12000007,London,
"2020-02-25",region,E12000007,London,
"2020-02-24",region,E12000007,London,
"2020-02-23",region,E12000007,London,
"2020-02-22",region,E12000007,London,
"2020-02-21",region,E12000007,London,
"2020-02-20",region,E12000007,London,
"2020-02-19",region,E12000007,London,
"2020-02-18",region,E12000007,London,
"2020-02-17",region,E12000007,London,
"2020-02-16",region,E12000007,London,
"2020-02-15",region,E12000007,London,
"2020-02-14",region,E12000007,London,
"2020-02-13",region,E12000007,London,
"2020-02-12",region,E12000007,London,
"2020-02-11",region,E12000007,London,
"2020-02-10",region,E12000007,London,
"2020-02-09",region,E12000007,London,
"2020-02-08",region,E12000007,London,
"2020-02-07",region,E12000007,London,
"2020-02-06",region,E12000007,London,
"2020-02-05",region,E12000007,London,
"2020-02-04",region,E12000007,London,
"2020-02-03",region,E12000007,London,
"2020-02-02",region,E12000007,London,
"2020-02-01",region,E12000007,London,
"2020-01-31",region,E12000007,London,
"2020-01-30",region,E12000007,London,
"2020-01-29",region,E12000007,London,
"2020-01-28",region,E12000007,London,
"2020-01-27",region,E12000007,London,
"2020-01-26",region,E12000007,London,
"2020-01-25",region,E12000007,London,
"2020-01-24",region,E12000007,London,
"2020-01-23",region,E12000007,London,
"2020-01-22",region,E12000007,London,
"2020-01-21",region,E12000007,London,
"2020-01-20",region,E12000007,London,
"2020-01-19",region,E12000007,London,
"2020-01-18",region,E12000007,London,
"2020-01-17",region,E12000007,London,
"2020-01-16",region,E12000007,London,
"2020-01-15",region,E12000007,London,
"2020-01-14",region,E12000007,London,
"2020-01-13",region,E12000007,London,
"2020-01-12",region,E12000007,London,
"2020-01-11",region,E12000007,London,
"2020-01-10",region,E12000007,London,
"2020-01-09",region,E12000007,London,
"2020-01-08",region,E12000007,London,
"2020-01-07",region,E12000007,London,
"2020-01-06",region,E12000007,London,
"2020-01-05",region,E12000007,London,
"2020-01-04",region,E12000007,London,
"2020-01-03",region,E12000007,London,
"2020-12-19",region,E12000008,South East,2108.5
"2020-12-18",region,E12000008,South East,
"2020-12-17",region,E12000008,South East,
"2020-12-16",region,E12000008,South East,
"2020-12-15",region,E12000008,South East,
"2020-12-14",region,E12000008,South East,
"2020-12-13",region,E12000008,South East,
"2020-12-12",region,E12000008,South East,
"2020-12-11",region,E12000008,South East,
"2020-12-10",region,E12000008,South East,
"2020-12-09",region,E12000008,South East,
"2020-12-08",region,E12000008,South East,
"2020-12-07",region,E12000008,South East,
"2020-12-06",region,E12000008,South East,
"2020-12-05",region,E12000008,South East,
"2020-12-04",region,E12000008,South East,
"2020-12-03",region,E12000008,South East,
"2020-12-02",region,E12000008,South East,
"2020-12-01",region,E12000008,South East,
"2020-11-30",region,E12000008,South East,
"2020-11-29",region,E12000008,South East,
"2020-11-28",region,E12000008,South East,
"2020-11-27",region,E12000008,South East,
"2020-11-26",region,E12000008,South East,
"2020-11-25",region,E12000008,South East,
"2020-11-24",region,E12000008,South East,
"2020-11-23",region,E12000008,South East,
"2020-11-22",region,E12000008,South East,
"2020-11-21",region,E12000008,South East,
"2020-11-20",region,E12000008,South East,
"2020-11-19",region,E12000008,South East,
"2020-11-18",region,E12000008,South East,
"2020-11-17",region,E12000008,South East,
"2020-11-16",region,E12000008,South East,
"2020-11-15",region,E12000008,South East,
"2020-11-14",region,E12000008,South East,
"2020-11-13",region,E12000008,South East,
"2020-11-12",region,E12000008,South East,
"2020-11-11",region,E12000008,South East,
"2020-11-10",region,E12000008,South East,
"2020-11-09",region,E12000008,South East,
"2020-11-08",region,E12000008,South East,
"2020-11-07",region,E12000008,South East,
"2020-11-06",region,E12000008,South East,
"2020-11-05",region,E12000008,South East,
"2020-11-04",region,E12000008,South East,
"2020-11-03",region,E12000008,South East,
"2020-11-02",region,E12000008,South East,
"2020-11-01",region,E12000008,South East,
"2020-10-31",region,E12000008,South East,
"2020-10-30",region,E12000008,South East,
"2020-10-29",region,E12000008,South East,
"2020-10-28",region,E12000008,South East,
"2020-10-27",region,E12000008,South East,
"2020-10-26",region,E12000008,South East,
"2020-10-25",region,E12000008,South East,
"2020-10-24",region,E12000008,South East,
"2020-10-23",region,E12000008,South East,
"2020-10-22",region,E12000008,South East,
"2020-10-21",region,E12000008,South East,
"2020-10-20",region,E12000008,South East,
"2020-10-19",region,E12000008,South East,
"2020-10-18",region,E12000008,South East,
"2020-10-17",region,E12000008,South East,
"2020-10-16",region,E12000008,South East,
"2020-10-15",region,E12000008,South East,
"2020-10-14",region,E12000008,South East,
"2020-10-13",region,E12000008,South East,
"2020-10-12",region,E12000008,South East,
"2020-10-11",region,E12000008,South East,
"2020-10-10",region,E12000008,South East,
"2020-10-09",region,E12000008,South East,
"2020-10-08",region,E12000008,South East,
"2020-10-07",region,E12000008,South East,
"2020-10-06",region,E12000008,South East,
"2020-10-05",region,E12000008,South East,
"2020-10-04",region,E12000008,South East,
"2020-10-03",region,E12000008,South East,
"2020-10-02",region,E12000008,South East,
"2020-10-01",region,E12000008,South East,
"2020-09-30",region,E12000008,South East,
"2020-09-29",region,E12000008,South East,
"2020-09-28",region,E12000008,South East,
"2020-09-27",region,E12000008,South East,
"2020-09-26",region,E12000008,South East,
"2020-09-25",region,E12000008,South East,
"2020-09-24",region,E12000008,South East,
"2020-09-23",region,E12000008,South East,
"2020-09-22",region,E12000008,South East,
"2020-09-21",region,E12000008,South East,
"2020-09-20",region,E12000008,South East,
"2020-09-19",region,E12000008,South East,
"2020-09-18",region,E12000008,South East,
"2020-09-17",region,E12000008,South East,
"2020-09-16",region,E12000008,South East,
"2020-09-15",region,E12000008,South East,
"2020-09-14",region,E12000008,South East,
"2020-09-13",region,E12000008,South East,
"2020-09-12",region,E12000008,South East,
"2020-09-11",region,E12000008,South East,
"2020-09-10",region,E12000008,South East,
"2020-09-09",region,E12000008,South East,
"2020-09-08",region,E12000008,South East,
"2020-09-07",region,E12000008,South East,
"2020-09-06",region,E12000008,South East,
"2020-09-05",region,E12000008,South East,
"2020-09-04",region,E12000008,South East,
"2020-09-03",region,E12000008,South East,
"2020-09-02",region,E12000008,South East,
"2020-09-01",region,E12000008,South East,
"2020-08-31",region,E12000008,South East,
"2020-08-30",region,E12000008,South East,
"2020-08-29",region,E12000008,South East,
"2020-08-28",region,E12000008,South East,
"2020-08-27",region,E12000008,South East,
"2020-08-26",region,E12000008,South East,
"2020-08-25",region,E12000008,South East,
"2020-08-24",region,E12000008,South East,
"2020-08-23",region,E12000008,South East,
"2020-08-22",region,E12000008,South East,
"2020-08-21",region,E12000008,South East,
"2020-08-20",region,E12000008,South East,
"2020-08-19",region,E12000008,South East,
"2020-08-18",region,E12000008,South East,
"2020-08-17",region,E12000008,South East,
"2020-08-16",region,E12000008,South East,
"2020-08-15",region,E12000008,South East,
"2020-08-14",region,E12000008,South East,
"2020-08-13",region,E12000008,South East,
"2020-08-12",region,E12000008,South East,
"2020-08-11",region,E12000008,South East,
"2020-08-10",region,E12000008,South East,
"2020-08-09",region,E12000008,South East,
"2020-08-08",region,E12000008,South East,
"2020-08-07",region,E12000008,South East,
"2020-08-06",region,E12000008,South East,
"2020-08-05",region,E12000008,South East,
"2020-08-04",region,E12000008,South East,
"2020-08-03",region,E12000008,South East,
"2020-08-02",region,E12000008,South East,
"2020-08-01",region,E12000008,South East,
"2020-07-31",region,E12000008,South East,
"2020-07-30",region,E12000008,South East,
"2020-07-29",region,E12000008,South East,
"2020-07-28",region,E12000008,South East,
"2020-07-27",region,E12000008,South East,
"2020-07-26",region,E12000008,South East,
"2020-07-25",region,E12000008,South East,
"2020-07-24",region,E12000008,South East,
"2020-07-23",region,E12000008,South East,
"2020-07-22",region,E12000008,South East,
"2020-07-21",region,E12000008,South East,
"2020-07-20",region,E12000008,South East,
"2020-07-19",region,E12000008,South East,
"2020-07-18",region,E12000008,South East,
"2020-07-17",region,E12000008,South East,
"2020-07-16",region,E12000008,South East,
"2020-07-15",region,E12000008,South East,
"2020-07-14",region,E12000008,South East,
"2020-07-13",region,E12000008,South East,
"2020-07-12",region,E12000008,South East,
"2020-07-11",region,E12000008,South East,
"2020-07-10",region,E12000008,South East,
"2020-07-09",region,E12000008,South East,
"2020-07-08",region,E12000008,South East,
"2020-07-07",region,E12000008,South East,
"2020-07-06",region,E12000008,South East,
"2020-07-05",region,E12000008,South East,
"2020-07-04",region,E12000008,South East,
"2020-07-03",region,E12000008,South East,
"2020-07-02",region,E12000008,South East,
"2020-07-01",region,E12000008,South East,
"2020-06-30",region,E12000008,South East,
"2020-06-29",region,E12000008,South East,
"2020-06-28",region,E12000008,South East,
"2020-06-27",region,E12000008,South East,
"2020-06-26",region,E12000008,South East,
"2020-06-25",region,E12000008,South East,
"2020-06-24",region,E12000008,South East,
"2020-06-23",region,E12000008,South East,
"2020-06-22",region,E12000008,South East,
"2020-06-21",region,E12000008,South East,
"2020-06-20",region,E12000008,South East,
"2020-06-19",region,E12000008,South East,
"2020-06-18",region,E12000008,South East,
"2020-06-17",region,E12000008,South East,
"2020-06-16",region,E12000008,South East,
"2020-06-15",region,E12000008,South East,
"2020-06-14",region,E12000008,South East,
"2020-06-13",region,E12000008,South East,
"2020-06-12",region,E12000008,South East,
"2020-06-11",region,E12000008,South East,
"2020-06-10",region,E12000008,South East,
"2020-06-09",region,E12000008,South East,
